Id,Week,HomeTeamId,AwayTeamId,Spread,HomeTeamScore,AwayTeamScore
202,14,13,29,8.5,13,33
203,14,10,11,-10,38,10
204,14,7,28,1.5,26,23
205,14,30,4,-3.5,33,27
206,14,12,6,-12.5,30,45
207,14,1,19,-2.5,23,30
208,15,18,16,4,28,34
209,15,8,17,-6,14,16
210,15,14,22,-2,27,17
211,15,24,9,10.5,6,21
212,15,4,5,-11,31,14
213,15,11,1,14,30,12
214,15,20,25,-8.5,31,24
215,15,26,32,-5,27,17
216,15,27,31,2,19,13
217,15,15,13,-3,16,30
218,15,10,7,-1.5,10,15
219,15,28,2,-9,31,13
220,15,19,29,-7,20,10
221,15,3,12,5,30,31
222,15,30,23,-11,0,9
223,15,6,21,3.5,9,17
224,16,31,28,3.5,20,17
225,16,12,8,-7.5,24,22
226,16,1,14,-3,16,22
227,16,26,24,-11,34,10
228,16,9,32,-10,56,14
229,16,2,11,-7.5,20,16
230,16,7,3,-7.5,41,21
231,16,21,19,3,23,30
232,16,22,4,-1,21,33
233,16,25,15,-2,26,21
234,16,5,30,11.5,6,32
235,16,13,18,12.5,41,29
236,16,29,6,-7,24,25
237,16,16,27,-10,36,10
238,16,17,10,-1,17,13
239,16,23,20,3.5,3,20
240,17,6,24,-6.5,29,3
241,17,9,1,-6.5,22,25
242,17,4,2,-14.5,29,15
243,17,7,16,3.5,34,31
244,17,31,20,-3,34,3
245,17,14,17,-8.5,20,23
246,17,22,15,-17,50,10
247,17,25,30,14.5,24,28
248,17,32,26,6,16,20
249,17,3,19,7,19,20
250,17,18,10,-7.5,34,13
251,17,28,13,-13.5,23,7
252,17,23,5,-6.5,18,10
253,17,29,11,-9.5,51,29
254,17,12,21,-11.5,37,10
255,17,27,8,-2.5,26,14
256,18,26,9,3,26,51
257,18,10,16,9.5,24,28
258,18,24,32,6.5,7,22
259,18,8,7,-3,21,16
260,18,11,12,-4,37,30
261,18,21,6,-3,31,17
262,18,15,14,15.5,26,11
263,18,3,27,-4,13,16
264,18,13,31,10.5,25,28
265,18,2,23,4.5,20,30
266,18,4,25,-17,27,10
267,18,19,28,-5.5,24,27
268,18,20,22,6.5,33,24
269,18,1,29,-6.5,30,38
270,18,30,5,-8,41,17
271,18,17,18,3,35,32
